gid,entidad,geom,fna,gna,nam,fdc,sag
250,1,POINT(-68.0848031479999 -38.9574246399999),Instituto de Formación Docente Nº 12 General José de San Martín,Instituto de Formación Docente,Nº 12 General José de San Martín,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
251,1,POINT(-68.048773836 -38.953872529),Instituto Panamericano de Estudios Superiores,Instituto,Panamericano de Estudios Superiores,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
270,1,POINT(-68.0541612869999 -38.958096445),Instituto Superior en Seguridad,Instituto Superior,en Seguridad,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
282,1,POINT(-68.048544933 -38.965180554),Centro de Educación Física Nº 4,Centro de Educación Física,Nº 4,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
323,1,POINT(-68.0580119479999 -38.939936007),Universidad Nacional del Comahue - Rectorado,Universidad Nacional,del Comahue - Rectorado,IGN04/UNCo,IGN
324,1,POINT(-68.058636318 -38.9403571719999),Universidad Nacional del Comahue - Facultad de Humanidades,Universidad Nacional,del Comahue - Facultad de Humanidades,IGN04/UNCo,IGN
325,1,POINT(-68.0580890419999 -38.940891123),Universidad Nacional del Comahue - Facultad de Ciencias del Ambiente y de la Salud,Universidad Nacional,del Comahue - Facultad de Ciencias del Ambiente y de la Salud,IGN04/UNCo,IGN
326,1,POINT(-68.0565376329999 -38.9410519749999),Universidad Nacional del Comahue - Facultad de Ingeniería,Universidad Nacional,del Comahue - Facultad de Ingeniería,IGN04/UNCo,IGN
327,1,POINT(-68.056078397 -38.9409520369999),Universidad Nacional del Comahue - Facultad de Economía y Administración,Universidad Nacional,del Comahue - Facultad de Economía y Administración,IGN04/UNCo,IGN
328,1,POINT(-68.053401504 -38.940844962),Universidad Nacional del Comahue - Facultad de Turismo,Universidad Nacional,del Comahue - Facultad de Turismo,IGN04/UNCo,IGN
329,1,POINT(-68.0546388239999 -38.940095431),Universidad Nacional del Comahue - Facultad de Informática,Universidad Nacional,del Comahue - Facultad de Informática,IGN04/UNCo,IGN
1586,1,POINT(-68.0574407729999 -38.95447924),Potenciar Educación Superior,,Potenciar Educación Superior,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1587,1,POINT(-68.1214423329999 -38.963117363),Centro de Educación Fisica Nº 13,Centro de Educación Fisica,Nº 13,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1593,1,POINT(-68.067998072 -38.9532329959999),Instituto Si Jolie de Educación Superior y Fomación Profesional,Instituto,Si Jolie de Educación Superior y Fomación Profesional,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1606,1,POINT(-68.056403879 -38.952436077),Centro de Estudios Terciarios del Comahue,Centro de Estudios Terciarios,del Comahue,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1607,1,POINT(-68.042267432 -38.948306983),Instituto de Formación Docente Nº 6,Instituto de Formación Docente,Nº 6,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1608,1,POINT(-68.044627356 -38.9477699569999),Instituto de Formación Docente Nº 6,Instituto de Formación Docente,Nº 6,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1619,1,POINT(-68.0659543469999 -38.954102657),Instituto Superior de Informática del Valle,Instituto Superior,de Informática del Valle,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1627,1,POINT(-68.069229056 -38.9512467019999),Instituto Neuquino del Profesorado en Inglés,Instituto,Neuquino del Profesorado en Inglés,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1656,1,POINT(-68.060029879 -38.952741894),Escuela Superior de Música del Neuquén,Escuela Superior,de Música del Neuquén,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1663,1,POINT(-68.069229369 -38.9513051659999),Centro de Estudios para el Desarrollo Económico de la Patagonia (CEDEP),Centro de Estudios,para el Desarrollo Económico de la Patagonia (CEDEP),Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
2088,1,POINT(-68.086500445 -38.965072719),Escuela Superior de Bellas Artes Manuel Belgrano,Escuela Superior de Bellas Artes,Manuel Belgrano,IGN01/IGN04/Sitio Web de la Institución,IGN
2150,1,POINT(-68.068290835 -38.951899023),Vínculo Primera Escuela de Psicología Social del Neuquén,,Vínculo Primera Escuela de Psicología Social del Neuquén,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
2159,1,POINT(-68.0722140779999 -38.951458085),Centro de Educación Física Nº 1,Centro de Educación Física,Nº 1,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
2166,1,POINT(-68.0508415579999 -38.946160424),Instituto de Formación Docente Nº 4,Instituto de Formación Docente,Nº 4,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
2180,1,POINT(-68.041639038 -38.952530903),Escuela Superior de Cocineros Patagónicos,Escuela Superior,de Cocineros Patagónicos,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
7460,1,POINT(-65.276117122 -26.8157656399999),"Universidad Nacional de Tucumán Escuela Universitaria de Cine, Video y Televisión",Universidad Nacional,"de Tucumán Escuela Universitaria de Cine, Video y Televisión",Interpretación y Nomenclatura,IGN
7462,1,POINT(-65.198926404 -26.816976279),Universidad Tecnológica Nacional Facultad Regional Tucumán,Universidad Tecnológica Nacional,Facultad Regional Tucumán,Interpretación y Nomenclatura,IGN
7464,1,POINT(-65.1860954429999 -26.8352848769999),Universidad Nacional de Tucumán Facultad de Educación Física,Universidad Nacional,de Tucumán Facultad de Educación Física,Interpretación y Nomenclatura,IGN
7465,1,POINT(-65.1853732399999 -26.834172151),Universidad Nacional de Tucumán Facultad de Filosofía y Letras,Universidad Nacional,de Tucumán Facultad de Filosofía y Letras,Interpretación y Nomenclatura,IGN
7466,1,POINT(-65.2732890249999 -26.839788826),Universidad Nacional de Tucumán Facultad de Agronomía y Zootecnia,Universidad Nacional,de Tucumán Facultad de Agronomía y Zootecnia,Interpretación y Nomenclatura,IGN
7467,1,POINT(-65.1846073089999 -26.8343559099999),Universidad Nacional de Tucumán Facultad de Odontología,Universidad Nacional,de Tucumán Facultad de Odontología,Interpretación y Nomenclatura,IGN
7468,1,POINT(-68.067071507 -38.846653998),Universidad Nacional del Comahue - Facultad de Ciencias Agrarias,Universidad Nacional,del Comahue - Facultad de Ciencias Agrarias,IGN04/UNCo,IGN
7474,1,POINT(-58.392068202 -34.5826446299999),Universidad de Buenos Aires Facultad de Derecho,Universidad,de Buenos Aires Facultad de Derecho,Ministerio del Interior,IGN
7475,1,POINT(-58.408423622 -34.6007818589999),Universidad de Buenos Aires Posgrado Sede Tucumán,Universidad,de Buenos Aires Posgrado Sede Tucumán,Ministerio del Interior,IGN
7476,1,POINT(-58.751074795 -34.3733687599999),Universidad de Buenos Aires Ciclo Básico Común Sede 14 Centro Universitario Regional Escobar,Universidad,de Buenos Aires Ciclo Básico Común Sede 14 Centro Universitario Regional Escobar,Ministerio del Interior,IGN
7477,1,POINT(-58.5253853899999 -34.4980856519999),Universidad de Buenos Aires Ciclo Básico Común 06 Centro Universitario Regional Norte San Isidro,Universidad,de Buenos Aires Ciclo Básico Común 06 Centro Universitario Regional Norte San Isidro,Ministerio del Interior,IGN
7478,1,POINT(-58.364129665 -34.676449756),Universidad de Buenos Aires Ciclo Básico Común Sede 04 Avellaneda,Universidad,de Buenos Aires Ciclo Básico Común Sede 04 Avellaneda,Ministerio del Interior,IGN
7479,1,POINT(-58.483968443 -34.593616971),Universidad de Buenos Aires Facultad de Agronomía,Universidad,de Buenos Aires Facultad de Agronomía,Ministerio del Interior,IGN
7480,1,POINT(-58.44419197 -34.54163411),"Universidad de Buenos Aires Facultad de Arquitectura, Diseño y Urbanismo",Universidad,"de Buenos Aires Facultad de Arquitectura, Diseño y Urbanismo",Ministerio del Interior,IGN
7481,1,POINT(-58.397597498 -34.599953306),Universidad de Buenos Aires Facultad de Ciencias Económicas,Universidad,de Buenos Aires Facultad de Ciencias Económicas,Ministerio del Interior,IGN
7482,1,POINT(-58.3965065359999 -34.5884974269999),Universidad de Buenos Aires Facultad de Ingeniería Sede Las Heras,Universidad,de Buenos Aires Facultad de Ingeniería Sede Las Heras,Ministerio del Interior,IGN
7483,1,POINT(-58.368234328 -34.6176728189999),Universidad de Buenos Aires Facultad de Ingeniería,Universidad,de Buenos Aires Facultad de Ingeniería,Ministerio del Interior,IGN
7484,1,POINT(-58.398301486 -34.5972795279999),Universidad de Buenos Aires Facultad de Odontología,Universidad,de Buenos Aires Facultad de Odontología,Ministerio del Interior,IGN
7485,1,POINT(-58.373007195 -34.5997862359999),Universidad de Buenos Aires Rectorado,Universidad,de Buenos Aires Rectorado,Ministerio del Interior,IGN
7486,1,POINT(-58.373863936 -34.640998528),Universidad de Buenos Aires Ciclo Básico Común Sede 01 Montes de Oca,Universidad,de Buenos Aires Ciclo Básico Común Sede 01 Montes de Oca,Ministerio del Interior,IGN
7487,1,POINT(-58.47857386 -34.5677441019999),Universidad de Buenos Aires Ciclo Básico Común Sede 05 Drago,Universidad,de Buenos Aires Ciclo Básico Común Sede 05 Drago,Ministerio del Interior,IGN
7488,1,POINT(-58.44259873 -34.5423214039999),Universidad de Buenos Aires Facultad de Ciencias Exactas y Naturales,Universidad,de Buenos Aires Facultad de Ciencias Exactas y Naturales,Ministerio del Interior,IGN
7489,1,POINT(-58.399479438 -34.5970989269999),Universidad de Buenos Aires Facultad de Ciencias Sociales,Universidad,de Buenos Aires Facultad de Ciencias Sociales,Ministerio del Interior,IGN
7490,1,POINT(-58.446510405 -34.628265668),Universidad de Buenos Aires Facultad de Filosofía y Letras,Universidad,de Buenos Aires Facultad de Filosofía y Letras,Ministerio del Interior,IGN
7491,1,POINT(-58.412323933 -34.612336188),Universidad de Buenos Aires Facultad de Psicología,Universidad,de Buenos Aires Facultad de Psicología,Ministerio del Interior,IGN
7492,1,POINT(-58.398501368 -34.5980280859999),Universidad de Buenos Aires Facultad de Medicina,Universidad,de Buenos Aires Facultad de Medicina,Ministerio del Interior,IGN
7493,1,POINT(-58.478323506 -34.594756853),Universidad de Buenos Aires Facultad de Ciencias Veterinarias,Universidad,de Buenos Aires Facultad de Ciencias Veterinarias,Ministerio del Interior,IGN
7494,1,POINT(-58.397778183 -34.597672868),Universidad de Buenos Aires Facultad de Farmacia y Bioquímica,Universidad,de Buenos Aires Facultad de Farmacia y Bioquímica,Ministerio del Interior,IGN
7664,1,POINT(-57.940767915 -34.925224417),Universidad Nacional de La Plata Facultad de Trabajo Social,Universidad Nacional,de La Plata Facultad de Trabajo Social,IDE Buenos Aires,IGN
7665,1,POINT(-57.941244834 -34.922002053),Universidad Nacional de La Plata Facultad de Bellas Artes,Universidad Nacional,de La Plata Facultad de Bellas Artes,IDE Buenos Aires,IGN
7666,1,POINT(-57.942645322 -34.908818864),Universidad Nacional de La Plata Facultad de Odontología,Universidad Nacional,de La Plata Facultad de Odontología,IDE Buenos Aires,IGN
7667,1,POINT(-57.938003583 -34.903641469),Universidad Nacional de La Plata Facultad de Informática,Universidad Nacional,de La Plata Facultad de Informática,IDE Buenos Aires,IGN
7668,1,POINT(-57.945079542 -34.907357991),Universidad Nacional de La Plata Facultad de Ingeniería,Universidad Nacional,de La Plata Facultad de Ingeniería,IDE Buenos Aires,IGN
7669,1,POINT(-57.9446167629999 -34.906843791),Universidad Nacional de La Plata Facultad de Ciencias Exactas,Universidad Nacional,de La Plata Facultad de Ciencias Exactas,IDE Buenos Aires,IGN
